id,category,keywords,question,answer
1,General,what is coretech|about coretech|coretech company,What is CoreTech?,CoreTech is a technology services company offering cloud computing, cybersecurity, software development, IT consulting, and data analytics solutions to businesses of all sizes.
2,General,services|offer|provide|solutions,What services does CoreTech offer?,"CoreTech offers a wide range of services including cloud infrastructure, managed IT support, custom software development, cybersecurity, data analytics, DevOps consulting, and AI/ML integration."
3,General,founded|history|started|established,When was CoreTech founded?,CoreTech was founded in 2010 with a mission to empower businesses through innovative and reliable technology solutions.
4,General,headquarters|location|office|based,Where is CoreTech headquartered?,CoreTech is headquartered in San Francisco, California, with regional offices in New York, London, and Dubai.
5,General,contact|reach|email|phone|support,How can I contact CoreTech support?,"You can reach CoreTech support via email at support@coretech.io, by phone at 1-800-CORETECH, or through the live chat on our website 24/7."
6,Cloud,cloud|cloud services|hosting|infrastructure,What cloud services does CoreTech provide?,"CoreTech provides public, private, and hybrid cloud solutions including cloud migration, cloud storage, virtual machines, auto-scaling infrastructure, and managed Kubernetes clusters."
7,Cloud,cloud migration|migrate|move to cloud,Does CoreTech help with cloud migration?,Yes. CoreTech offers end-to-end cloud migration services — from assessment and planning to execution and post-migration optimization — with minimal downtime.
8,Cloud,cloud provider|aws|azure|google cloud|multi-cloud,Which cloud providers does CoreTech work with?,"CoreTech is a certified partner of AWS, Microsoft Azure, and Google Cloud Platform. We also support multi-cloud strategies tailored to your business needs."
9,Cybersecurity,security|cybersecurity|protect|cyber,What cybersecurity services does CoreTech offer?,"CoreTech's cybersecurity services include penetration testing, vulnerability assessments, SOC monitoring, incident response, firewall management, and compliance auditing (ISO 27001, SOC 2)."
10,Cybersecurity,data breach|breach|hack|compromised,What should I do if my data is breached?,"Contact CoreTech's incident response team immediately at security@coretech.io. Our team is available 24/7 and will help contain, investigate, and recover from the breach."
11,Cybersecurity,compliance|gdpr|hipaa|iso|soc2,Does CoreTech help with regulatory compliance?,"Yes, CoreTech helps organizations achieve and maintain compliance with GDPR, HIPAA, ISO 27001, SOC 2 Type II, PCI-DSS, and other industry standards."
12,Software Development,software|app|application|develop|build,Does CoreTech build custom software?,Yes. CoreTech's development team builds custom web applications, mobile apps, APIs, and enterprise software tailored to your specific business requirements.
13,Software Development,tech stack|technology|programming|language|framework,What technologies does CoreTech use for development?,"CoreTech works with Python, Node.js, React, Angular, Java, .NET, Flutter, and more. We choose the best stack based on your project's performance, scalability, and budget needs."
14,Software Development,agile|scrum|methodology|process|workflow,What development methodology does CoreTech follow?,"CoreTech follows Agile (Scrum and Kanban) methodologies, enabling iterative delivery, transparency, and rapid response to changing requirements."
15,Data & AI,data analytics|analytics|data|insights|dashboard,What data analytics services does CoreTech offer?,"CoreTech provides data pipeline engineering, business intelligence dashboards, real-time analytics, data warehousing, and reporting using tools like Power BI, Tableau, and Apache Spark."
16,Data & AI,ai|machine learning|ml|artificial intelligence,Does CoreTech offer AI and machine learning services?,Yes. CoreTech provides AI/ML consulting and implementation services including predictive modeling, NLP, computer vision, recommendation systems, and MLOps deployment.
17,Pricing,pricing|cost|how much|price|fee|charge,How is CoreTech's pricing structured?,"CoreTech offers flexible pricing models: project-based fixed pricing, monthly retainers for managed services, and pay-as-you-go for cloud resources. Contact sales for a custom quote."
18,Pricing,free trial|trial|demo|test,Does CoreTech offer a free trial?,"Yes, CoreTech offers a 14-day free trial for its managed cloud and monitoring services. Request a demo at demo@coretech.io or via the website."
19,Support,support hours|24/7|availability|uptime,What are CoreTech's support hours?,"CoreTech provides 24/7 support for critical infrastructure and security services. Standard business support is available Monday to Friday, 9 AM – 6 PM PST."
20,Support,sla|service level|response time|guarantee,What SLA does CoreTech guarantee?,"CoreTech guarantees 99.9% uptime for managed cloud services. Critical incident response time is under 1 hour; standard tickets are resolved within 24–48 business hours."
21,Support,ticket|raise ticket|issue|bug|problem,How do I raise a support ticket?,"Log in to the CoreTech customer portal at portal.coretech.io, click 'New Ticket', describe your issue, and submit. You'll receive a confirmation email with your ticket ID."
22,Partnership,partner|reseller|affiliate|collaboration,Can I become a CoreTech partner?,Yes! CoreTech has a structured partner program for resellers, referral partners, and technology alliances. Apply at coretech.io/partners or email partners@coretech.io.
23,Account,account|sign up|register|create account,How do I create a CoreTech account?,"Visit coretech.io/signup, fill in your business details, choose a service plan, and verify your email. Your account will be active within minutes."
24,Account,cancel|cancellation|terminate|end service,How do I cancel my CoreTech subscription?,"To cancel, log in to your portal, go to 'Billing & Subscriptions', and click 'Cancel Plan'. You can also email billing@coretech.io. No cancellation fees apply for monthly plans."
25,DevOps,devops|ci cd|pipeline|deployment|automation,Does CoreTech offer DevOps services?,"Yes. CoreTech's DevOps team helps design and implement CI/CD pipelines, infrastructure-as-code (Terraform, Ansible), container orchestration (Kubernetes, Docker), and automated testing frameworks."
26,Training,training|learn|course|certification|workshop,Does CoreTech provide training or workshops?,"Yes, CoreTech offers instructor-led training, online courses, and certification prep workshops covering cloud, cybersecurity, DevOps, and data engineering topics."
27,General,industries|sector|vertical|clients|who uses,Which industries does CoreTech serve?,"CoreTech serves clients across finance, healthcare, retail, education, logistics, government, and startups — delivering solutions tailored to each industry's regulatory and technical requirements."
